loan_type,loan_amount_index,previous_defaults,previous_nondefaults,previous_loan_count,cars_in_household,other_vehicles_owned,adults_in_household,children_in_household,market_segment_code,issues_needing_resolution,hmc,application_year,application_month,application_in_first_half_of_month,loan_origination,repeat_customer,mystery_field,loan_default
other,97,0,0,0,2,0,2,0,ms818,1,0,2021,4,0,website,0,31,0
auto,85,0,0,0,0,3,2,0,ms818,0,0,2021,7,0,bank branch,0,45,0
auto,142,0,0,0,0,4,3,0,ms498,2,0,2021,12,0,website,0,52,0
auto,119,0,0,0,1,1,2,0,ms498,1,0,2021,8,0,website,0,92,0
residential,189,0,0,0,0,2,3,0,ms296,0,0,2022,4,1,website,0,84,0
auto,167,0,0,0,0,3,2,0,ms296,0,0,2022,7,0,website,0,174,1
auto,168,0,0,0,0,1,3,0,ms818,2,0,2021,9,0,website,0,88,0
other,125,0,0,0,0,1,2,0,ms818,1,0,2021,1,1,website,0,56,0
auto,77,0,0,0,1,1,2,0,ms818,1,0,2020,12,1,website,0,120,0
other,114,0,0,0,2,1,2,0,ms818,1,0,2022,4,1,website,0,62,0
other,79,0,0,0,1,1,2,0,ms818,2,0,2022,2,0,website,0,207,0
auto,90,0,0,0,0,3,2,0,ms818,1,0,2021,4,0,website,0,312,0
auto,89,0,0,0,0,4,2,0,ms498,0,0,2021,6,1,website,0,40,0
auto,117,0,0,0,1,2,2,0,ms818,2,0,2022,4,1,website,0,124,0
auto,59,0,0,0,1,3,2,0,ms818,0,0,2020,10,0,website,0,48,0
other,119,0,0,0,0,1,2,0,ms818,0,0,2021,10,1,website,0,3,0
auto,201,0,0,0,0,2,3,0,ms498,3,0,2021,2,1,website,0,40,0
auto,72,0,0,0,0,3,2,0,ms818,0,0,2021,11,1,bank branch,0,148,0
other,108,0,0,0,0,2,2,0,ms818,0,0,2022,6,0,website,0,128,1
auto,60,0,0,0,2,5,1,0,ms818,0,0,2022,3,1,bank branch,0,22,0
auto,120,0,0,0,1,0,1,0,ms296,0,0,2021,2,1,bank branch,0,129,1
auto,65,0,0,0,0,3,2,0,ms818,0,0,2022,1,0,bank branch,0,57,0
auto,89,0,0,0,1,2,2,0,ms818,0,0,2022,6,0,bank branch,0,169,0
auto,180,0,0,0,0,2,2,0,ms818,1,0,2022,8,0,website,0,42,0
auto,77,0,0,0,0,3,2,0,ms818,1,0,2020,11,1,website,0,112,1
auto,90,0,0,0,0,2,2,0,ms818,0,0,2021,3,0,website,0,126,0
other,125,0,0,0,1,2,2,0,ms818,1,0,2022,8,1,website,0,101,0
auto,97,0,0,0,1,0,2,0,ms498,0,0,2021,10,1,website,0,24,0
auto,107,0,0,0,1,3,2,0,ms818,1,0,2022,7,1,website,0,240,1
other,92,0,0,0,0,2,2,0,ms818,0,0,2021,12,1,website,0,27,0
auto,122,0,0,0,0,2,3,0,ms498,1,0,2021,3,0,website,0,152,1
auto,74,0,0,0,0,2,2,0,ms818,0,0,2021,6,0,bank branch,0,59,0
auto,174,0,0,0,0,1,2,2,ms301,0,0,2021,4,1,website,0,19,0
auto,67,0,8,8,1,1,1,0,ms818,1,1,2021,10,0,other,1,24,0
other,75,0,0,0,2,2,2,0,ms818,0,0,2022,6,0,website,0,133,0
auto,99,0,0,0,0,3,2,0,ms818,2,0,2020,8,1,website,0,51,0
auto,95,0,3,3,0,1,1,0,ms498,2,0,2022,3,0,other,1,11,0
other,76,0,0,0,2,4,2,0,ms818,1,0,2020,9,1,website,0,69,0
other,126,0,0,0,1,1,2,0,ms818,2,0,2022,6,1,website,0,80,0
auto,140,0,0,0,0,2,2,0,ms498,0,0,2021,9,0,website,0,77,1
other,86,0,0,0,0,3,2,0,ms818,0,0,2021,12,0,website,0,214,1
auto,58,0,0,0,1,3,2,0,ms818,0,0,2021,7,0,bank branch,0,117,0
other,87,0,0,0,2,2,2,0,ms818,0,0,2021,11,1,website,0,129,1
auto,159,0,0,0,0,4,2,0,ms498,0,0,2022,8,1,website,0,41,0
auto,88,0,0,0,1,2,2,0,ms818,1,0,2022,1,1,website,0,11,0
auto,200,0,0,0,1,2,2,0,ms818,2,0,2021,3,1,website,0,17,0
auto,109,0,0,0,1,1,2,0,ms818,1,0,2022,8,1,website,0,289,1
auto,72,0,0,0,2,1,2,0,ms818,0,0,2021,11,0,bank branch,0,116,1
auto,85,0,0,0,2,3,2,0,ms818,0,0,2022,4,0,bank branch,0,35,0
auto,119,0,0,0,2,3,2,0,ms818,0,0,2022,4,1,website,0,102,0
auto,148,0,0,0,0,1,2,0,ms818,1,1,2021,1,0,website,0,19,0
auto,123,0,0,0,2,0,2,0,ms498,0,0,2022,3,0,website,0,40,0
auto,75,0,0,0,0,3,2,0,ms818,0,0,2022,3,1,bank branch,0,65,0
auto,56,0,0,0,1,4,1,0,ms818,0,0,2021,7,1,bank branch,0,25,0
other,107,0,0,0,0,1,2,0,ms818,1,0,2022,8,0,website,0,22,0
auto,68,0,0,0,2,3,2,0,ms818,0,0,2020,10,0,bank branch,0,78,0
auto,75,0,0,0,0,1,2,0,ms818,0,0,2021,8,1,bank branch,0,121,1
auto,112,0,0,0,0,4,3,0,ms818,1,0,2020,8,0,website,0,26,0
auto,95,0,0,0,0,3,2,0,ms818,0,0,2020,7,0,bank branch,0,79,0
auto,91,0,0,0,0,1,2,0,ms818,0,0,2021,8,1,website,0,71,0
auto,0,0,0,0,0,2,1,0,ms818,0,0,2021,6,0,website,0,16,0
residential,96,0,0,0,2,0,1,0,ms818,1,0,2022,6,0,bank branch,0,418,0
auto,170,0,0,0,0,3,2,0,ms498,2,0,2022,7,0,website,0,38,0
auto,101,0,0,0,1,2,1,0,ms818,1,0,2021,3,0,website,0,26,0
auto,160,0,0,0,0,5,2,0,ms498,0,0,2021,7,0,website,0,31,0
other,71,0,0,0,0,1,2,0,ms818,1,0,2022,2,1,website,0,91,1
auto,209,0,0,0,1,3,2,2,ms604,2,0,2021,9,0,website,0,44,0
other,72,0,0,0,1,0,2,0,ms818,0,0,2021,8,1,bank branch,0,69,0
other,123,0,0,0,0,2,2,0,ms818,0,0,2022,4,1,website,0,11,0
auto,155,0,0,0,0,2,2,0,ms498,3,0,2022,7,0,website,0,339,0
other,88,0,0,0,0,1,2,0,ms818,0,0,2022,1,0,website,0,6,0
auto,91,0,0,0,0,3,2,0,ms818,0,0,2021,3,1,website,0,191,1
auto,67,0,0,0,2,3,2,0,ms818,1,0,2022,3,1,website,0,26,0
auto,77,0,0,0,0,3,2,0,ms818,2,1,2020,12,1,website,0,139,0
auto,60,0,0,0,2,3,2,0,ms818,1,0,2021,5,1,bank branch,0,53,0
auto,80,0,0,0,0,3,2,0,ms818,0,0,2021,7,0,bank branch,0,27,0
auto,60,0,0,0,0,4,2,0,ms498,0,0,2020,9,0,bank branch,0,82,0
auto,149,0,0,0,1,2,2,1,ms818,0,0,2021,8,0,website,0,24,1
auto,140,0,0,0,0,1,1,0,ms818,1,0,2022,8,1,website,0,84,0
other,46,0,0,0,2,3,2,0,ms818,0,0,2021,7,1,website,0,73,0
auto,135,0,0,0,0,3,2,0,ms818,0,0,2022,6,1,website,0,168,1
other,81,0,0,0,0,1,2,0,ms818,0,0,2020,12,0,website,0,12,0
auto,146,0,0,0,0,1,2,0,ms498,1,0,2021,10,0,website,0,19,0
residential,109,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,86,0
other,116,0,0,0,0,1,2,0,ms818,2,0,2021,9,0,website,0,48,0
auto,140,0,0,0,2,2,2,0,ms818,1,0,2020,8,0,website,0,17,0
auto,112,0,0,0,0,1,1,0,ms818,2,0,2021,3,1,website,0,33,0
auto,122,0,0,0,2,1,2,0,ms498,0,0,2022,6,1,website,0,98,0
auto,103,0,0,0,0,1,1,0,ms818,1,0,2021,3,0,website,0,6,0
residential,166,0,0,0,1,2,2,1,ms818,2,0,2021,1,1,website,0,73,0
auto,95,0,0,0,0,2,1,0,ms818,0,0,2021,10,0,bank branch,0,197,0
auto,65,0,0,0,2,1,2,0,ms818,0,0,2020,8,1,bank branch,0,222,0
auto,72,0,0,0,1,1,2,0,ms818,0,0,2021,12,0,bank branch,0,133,0
auto,99,0,0,0,1,3,2,0,ms818,0,0,2021,8,1,website,0,74,0
auto,67,0,0,0,1,0,1,0,ms818,0,1,2021,1,0,other,0,15,0
auto,72,0,0,0,0,1,2,0,ms818,0,0,2021,12,0,bank branch,0,162,0
auto,93,0,0,0,2,5,3,0,ms818,2,0,2021,4,0,website,0,253,0
auto,90,0,0,0,0,2,1,0,ms818,0,0,2020,7,1,other,0,95,0
auto,81,0,0,0,0,1,1,0,ms818,0,0,2021,6,0,other,0,110,0
other,76,0,0,0,0,1,1,0,ms818,1,0,2021,8,1,website,0,56,0
auto,78,0,0,0,0,2,2,0,ms818,0,0,2022,3,0,website,0,100,0
auto,0,0,0,0,0,1,2,1,ms498,2,0,2020,12,0,other,0,19,0
other,140,0,0,0,1,3,2,0,ms818,1,0,2022,8,1,website,0,61,1
other,62,0,0,0,0,2,1,0,ms818,0,0,2022,3,0,website,0,43,0
auto,125,0,0,0,2,5,2,0,ms818,0,0,2022,8,0,bank branch,0,185,1
auto,136,0,0,0,1,3,2,0,ms818,1,0,2021,9,0,website,0,117,0
residential,151,0,0,0,2,5,2,0,ms818,1,0,2022,6,1,website,0,40,0
other,107,0,0,0,1,1,2,0,ms818,1,0,2022,6,1,website,0,228,1
auto,120,0,0,0,0,3,1,0,ms818,0,0,2021,10,1,bank branch,0,84,0
residential,89,0,0,0,2,5,2,0,ms818,1,0,2021,1,1,bank branch,0,297,0
auto,90,0,0,0,0,2,1,0,ms818,0,0,2020,7,1,other,0,9,0
auto,184,0,0,0,0,3,3,0,ms498,2,0,2021,7,0,website,0,20,0
auto,170,0,0,0,0,4,2,0,ms498,2,0,2021,2,1,website,0,44,0
auto,91,0,0,0,1,3,2,0,ms818,0,0,2021,4,1,website,0,36,0
auto,96,0,0,0,1,2,2,0,ms818,1,0,2020,8,0,website,0,52,0
auto,160,0,0,0,0,5,3,0,ms498,0,0,2022,6,0,website,0,147,0
auto,233,0,0,0,2,0,3,0,ms498,1,0,2021,3,1,website,0,11,0
auto,135,0,0,0,0,3,2,0,ms818,3,0,2022,5,1,website,0,142,0
auto,65,0,0,0,0,1,1,0,ms818,0,0,2021,7,1,other,0,20,0
other,119,0,0,0,0,4,2,0,ms818,0,0,2022,5,0,website,0,107,0
auto,106,0,0,0,0,2,2,0,ms498,0,0,2022,3,0,website,0,86,1
residential,152,0,0,0,4,10,2,0,ms498,0,0,2022,7,1,website,0,173,1
auto,65,0,25,25,0,2,1,0,ms818,1,0,2022,5,1,other,1,27,0
auto,57,0,0,0,2,3,2,0,ms818,1,0,2021,5,0,bank branch,0,81,0
other,81,0,0,0,1,3,2,0,ms818,0,0,2021,10,0,website,0,168,0
auto,133,0,0,0,1,0,1,0,ms818,1,0,2020,7,1,website,0,10,0
other,130,0,0,0,1,0,2,0,ms818,0,0,2022,8,1,website,0,73,1
auto,80,0,0,0,2,3,2,0,ms818,1,0,2022,6,0,bank branch,0,155,0
auto,66,0,0,0,2,2,2,0,ms818,0,0,2021,5,0,bank branch,0,21,0
auto,82,0,0,0,2,5,2,0,ms498,0,0,2021,11,1,bank branch,0,164,0
auto,0,0,11,11,0,1,1,0,ms818,2,0,2022,4,1,other,1,4,0
auto,103,0,0,0,0,1,1,0,ms818,0,0,2021,3,0,website,0,8,0
auto,78,0,0,0,1,2,2,0,ms818,1,0,2022,3,1,website,0,59,0
auto,99,0,0,0,1,2,2,0,ms818,1,0,2022,5,0,bank branch,0,223,0
other,65,0,0,0,0,1,2,0,ms818,0,0,2022,3,0,website,0,18,0
auto,133,0,0,0,1,4,3,0,ms498,0,0,2021,2,1,website,0,208,1
auto,144,0,0,0,1,4,2,0,ms818,1,0,2022,6,1,website,0,54,1
residential,109,0,0,0,0,2,2,0,ms818,0,0,2020,12,1,bank branch,0,59,0
other,79,0,0,0,0,2,1,0,ms818,0,0,2021,4,1,website,0,12,0
auto,135,0,0,0,1,3,3,0,ms498,2,0,2021,4,0,website,0,47,0
auto,58,0,0,0,0,2,2,0,ms818,0,0,2020,10,0,bank branch,0,33,0
auto,105,0,0,0,0,1,2,1,ms818,2,0,2021,4,0,website,0,38,0
auto,75,0,0,0,2,2,2,0,ms818,0,0,2021,7,0,bank branch,0,78,1
auto,65,0,0,0,0,3,2,0,ms818,0,0,2022,1,0,bank branch,0,62,0
auto,89,1,13,14,0,1,1,0,ms818,2,1,2022,1,0,other,1,15,0
auto,65,0,8,8,0,1,1,0,ms818,0,0,2021,10,1,other,1,17,0
auto,81,0,0,0,0,1,2,0,ms818,1,0,2021,11,0,website,0,61,0
auto,119,0,0,0,1,3,3,0,ms818,0,0,2021,1,1,website,0,53,0
auto,76,0,0,0,1,2,2,0,ms818,1,0,2021,2,0,website,0,292,0
auto,95,0,0,0,0,1,2,0,ms818,1,0,2021,9,1,bank branch,0,30,0
auto,67,0,2,2,0,1,1,0,ms818,0,1,2021,7,0,other,1,23,0
auto,89,0,0,0,2,4,2,0,ms818,0,0,2022,4,1,bank branch,0,97,0
auto,107,0,0,0,1,2,3,0,ms818,2,0,2020,10,1,website,0,137,0
other,51,0,0,0,0,2,1,0,ms818,1,0,2022,3,1,website,0,103,1
auto,96,0,0,0,2,0,2,0,ms650,1,0,2021,10,0,website,0,250,0
other,140,0,0,0,1,0,2,0,ms818,1,0,2022,7,1,website,0,11,0
other,89,0,0,0,0,1,2,0,ms818,0,0,2021,9,0,website,0,20,1
residential,123,0,0,0,1,3,2,0,ms818,3,0,2021,2,0,website,0,231,0
auto,125,0,0,0,1,2,2,1,ms818,4,0,2022,7,1,website,0,219,0
auto,126,0,0,0,0,1,2,1,ms498,2,0,2021,4,0,website,0,93,0
auto,95,0,0,0,2,1,1,0,ms818,0,0,2021,2,1,other,0,19,0
auto,140,0,0,0,2,3,3,0,ms498,3,0,2022,7,0,website,0,180,0
auto,89,0,0,0,1,2,2,0,ms818,0,0,2020,7,1,website,0,244,1
auto,144,0,0,0,1,2,2,0,ms818,0,0,2021,1,0,bank branch,0,90,0
auto,100,0,0,0,0,2,2,0,ms818,0,0,2021,10,1,bank branch,0,80,0
residential,87,0,0,0,0,2,1,0,ms818,0,0,2020,12,1,bank branch,0,40,0
auto,87,0,0,0,0,4,2,0,ms498,0,0,2021,4,1,website,0,307,1
auto,103,0,0,0,0,2,2,0,ms498,1,0,2021,3,0,website,0,71,0
auto,0,4,17,21,0,1,1,0,ms818,3,0,2022,7,1,other,1,19,0
auto,210,0,0,0,1,5,3,0,ms498,0,0,2022,7,0,website,0,42,1
auto,95,0,0,0,0,3,1,0,ms818,0,0,2021,2,1,bank branch,0,55,0
residential,91,0,0,0,2,2,2,0,ms818,0,0,2022,3,0,website,0,36,0
auto,191,0,0,0,1,2,1,2,ms301,1,0,2021,2,1,website,0,127,0
auto,75,0,0,0,2,3,2,0,ms818,0,0,2022,2,1,bank branch,0,20,0
auto,147,0,0,0,0,1,3,0,ms498,0,0,2021,11,1,website,0,119,0
auto,110,0,0,0,0,3,1,0,ms818,0,0,2021,3,1,bank branch,0,182,1
auto,65,0,0,0,0,3,2,0,ms818,0,0,2022,1,0,bank branch,0,76,0
auto,75,0,0,0,0,1,2,0,ms818,0,0,2022,1,0,bank branch,0,54,0
auto,85,0,0,0,2,2,2,0,ms818,0,0,2022,4,0,bank branch,0,125,0
auto,58,0,0,0,0,3,2,0,ms818,0,0,2020,10,1,bank branch,0,22,0
auto,122,0,0,0,0,2,2,0,ms498,1,0,2021,2,1,website,0,204,1
auto,75,0,0,0,0,1,1,0,ms818,0,0,2021,7,1,other,0,35,0
auto,160,0,0,0,0,1,2,1,ms818,2,0,2021,2,0,website,0,15,0
auto,116,0,0,0,1,3,3,0,ms498,1,0,2021,4,0,website,0,166,1
auto,144,0,0,0,1,1,1,0,ms818,0,0,2022,5,0,website,0,128,0
other,80,0,0,0,0,2,2,0,ms818,0,0,2021,2,0,website,0,122,1
auto,71,0,0,0,2,2,2,0,ms818,0,0,2022,1,1,bank branch,0,56,0
auto,140,0,0,0,0,4,2,0,ms498,0,0,2021,1,1,website,0,56,0
auto,81,0,0,0,0,3,2,0,ms818,1,0,2021,10,1,bank branch,0,150,0
auto,0,0,0,0,0,0,2,0,ms818,0,0,2021,10,1,website,0,17,0
auto,90,0,0,0,1,0,2,0,ms818,1,0,2020,12,0,website,0,30,0
residential,102,0,0,0,0,2,2,0,ms818,0,0,2020,11,1,website,0,280,1
auto,65,0,0,0,2,3,2,0,ms818,0,0,2020,9,0,bank branch,0,28,0
other,79,0,0,0,0,3,2,0,ms818,2,0,2022,2,1,website,0,192,0
auto,149,0,0,0,2,3,2,0,ms498,0,0,2021,1,0,website,0,62,0
other,75,0,0,0,0,4,2,0,ms818,1,0,2022,3,1,website,0,5,1
auto,89,0,0,0,0,2,2,0,ms818,2,0,2022,6,0,bank branch,0,238,0
auto,109,0,0,0,0,1,1,0,ms818,0,0,2021,2,0,website,0,11,0
other,79,0,0,0,2,2,2,0,ms818,1,0,2022,2,0,website,0,11,0
auto,132,0,0,0,0,4,3,0,ms498,1,0,2021,11,0,website,0,159,1
auto,108,0,0,0,2,2,2,0,ms498,1,0,2021,9,0,website,0,148,0
auto,127,0,0,0,2,3,2,0,ms650,3,0,2021,1,0,website,0,127,0
auto,139,0,0,0,2,5,2,1,ms818,1,0,2022,6,1,website,0,135,0
auto,86,0,0,0,2,5,2,0,ms818,0,0,2022,8,0,website,0,233,1
auto,108,0,0,0,1,2,2,0,ms498,1,0,2022,3,0,website,0,80,0
auto,106,0,0,0,0,4,2,0,ms498,1,0,2021,8,1,website,0,73,0
auto,65,0,2,2,0,1,1,0,ms818,1,0,2021,5,0,other,1,12,0
auto,127,0,0,0,2,5,2,1,ms818,0,0,2021,12,0,website,0,55,0
auto,63,0,0,0,1,1,2,0,ms818,0,0,2021,7,0,bank branch,0,39,0
other,95,0,0,0,1,5,2,0,ms818,1,0,2021,8,0,website,0,96,0
auto,114,0,0,0,0,2,1,0,ms818,1,0,2020,7,1,website,0,30,0
auto,60,0,0,0,0,3,2,0,ms498,0,0,2020,9,1,bank branch,0,49,0
auto,130,0,0,0,1,5,2,1,ms818,1,0,2022,6,0,website,0,314,1
auto,111,0,0,0,0,4,2,1,ms818,2,0,2021,6,1,website,0,12,0
auto,90,0,0,0,1,4,2,0,ms818,1,0,2021,3,1,website,0,115,0
other,0,0,0,0,1,0,1,0,ms818,1,0,2022,6,1,other,0,6,0
other,53,0,0,0,2,3,1,0,ms818,1,0,2021,4,0,website,0,251,0
auto,85,0,0,0,1,2,2,0,ms818,1,0,2022,5,0,bank branch,0,150,0
auto,149,0,0,0,2,3,2,0,ms498,2,0,2022,7,0,website,0,132,0
other,160,0,0,0,0,3,2,0,ms818,1,0,2022,6,0,website,0,25,1
other,125,0,0,0,2,6,1,0,ms818,1,0,2022,5,1,website,0,47,0
residential,80,0,0,0,0,2,1,0,ms818,0,0,2020,7,0,bank branch,0,74,0
other,58,0,0,0,0,1,1,0,ms818,1,0,2021,5,0,website,0,19,0
residential,80,0,0,0,0,2,1,0,ms818,0,0,2020,7,0,bank branch,0,97,0
other,140,0,0,0,2,1,2,0,ms818,1,0,2022,7,0,website,0,30,1
auto,90,0,0,0,2,3,2,0,ms818,1,0,2021,3,1,website,0,16,0
auto,107,0,0,0,2,5,2,0,ms818,4,0,2022,7,1,website,0,313,0
residential,104,0,0,0,0,1,2,0,ms818,0,0,2021,8,1,bank branch,0,66,0
auto,167,0,1,1,1,2,3,0,ms604,2,0,2022,3,0,website,1,84,0
other,126,0,0,0,0,2,1,0,ms818,0,0,2022,7,0,website,0,32,0
auto,130,0,0,0,0,3,2,0,ms818,0,0,2020,7,1,website,0,5,0
auto,93,0,0,0,0,2,2,0,ms818,3,0,2021,6,0,website,0,30,0
auto,65,0,1,1,0,1,1,0,ms818,1,0,2022,6,0,other,1,18,0
auto,120,0,0,0,0,3,1,0,ms818,0,0,2021,10,1,bank branch,0,82,0
auto,67,0,0,0,1,4,2,0,ms818,0,0,2020,10,0,bank branch,0,166,0
residential,139,0,0,0,2,1,3,0,ms818,0,0,2020,11,1,bank branch,0,25,0
residential,73,0,0,0,2,1,1,0,ms818,0,0,2020,11,0,bank branch,0,109,0
auto,100,0,0,0,0,2,1,0,ms818,0,0,2020,8,1,bank branch,0,173,0
auto,119,0,0,0,2,3,2,1,ms498,3,0,2021,4,0,website,0,35,0
auto,106,0,0,0,0,1,2,0,ms818,0,0,2020,12,0,website,0,8,0
auto,110,0,0,0,0,2,2,0,ms818,1,0,2022,5,1,website,0,333,1
other,104,0,0,0,2,5,2,0,ms818,1,0,2021,12,0,website,0,36,0
auto,107,0,0,0,0,1,2,0,ms498,0,0,2021,9,0,bank branch,0,17,0
other,79,0,0,0,1,2,2,0,ms818,1,0,2022,2,1,website,0,73,0
auto,97,0,0,0,2,1,2,0,ms818,2,0,2022,3,0,website,0,131,0
residential,205,0,0,0,2,1,3,0,ms296,0,0,2022,5,0,website,0,117,1
auto,81,0,0,0,1,3,2,0,ms818,0,0,2021,9,1,bank branch,0,98,0
auto,160,0,0,0,0,2,2,0,ms818,1,0,2022,6,0,website,0,20,0
residential,95,0,0,0,2,1,2,0,ms818,0,0,2020,11,1,bank branch,0,103,1
auto,90,0,0,0,2,1,2,0,ms818,0,0,2022,3,0,bank branch,0,282,1
auto,136,0,0,0,2,1,2,0,ms818,1,0,2021,12,1,website,0,82,0
residential,229,0,0,0,1,3,3,0,ms296,0,0,2021,12,1,website,0,21,1
auto,143,0,0,0,1,1,2,1,ms818,1,0,2021,1,1,website,0,228,1
auto,74,0,0,0,2,4,2,0,ms650,1,0,2021,8,1,website,0,119,0
auto,127,0,0,0,2,3,2,0,ms818,1,0,2021,10,0,website,0,98,0
auto,100,0,0,0,1,3,2,0,ms498,0,0,2022,3,0,website,0,101,1
auto,225,0,0,0,1,1,2,2,ms301,2,0,2021,8,0,website,0,20,0
auto,126,0,0,0,0,3,2,0,ms818,1,0,2022,5,1,website,0,126,0
auto,129,0,0,0,0,1,1,0,ms818,0,0,2020,8,1,website,0,12,0
auto,107,0,0,0,0,2,2,0,ms650,1,0,2021,2,1,website,0,335,1
residential,109,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,96,0
other,95,0,0,0,2,4,2,0,ms818,1,0,2021,3,0,website,0,64,0
auto,114,0,0,0,0,3,3,0,ms498,2,0,2021,7,1,website,0,48,0
auto,144,0,0,0,1,2,2,0,ms818,1,0,2022,5,1,website,0,78,0
auto,89,0,0,0,1,2,2,0,ms818,0,0,2020,8,0,website,0,159,0
auto,176,0,0,0,1,3,3,0,ms498,1,0,2022,8,1,website,0,171,1
residential,112,0,0,0,0,1,2,0,ms818,0,0,2020,7,0,bank branch,0,83,0
auto,60,0,0,0,2,1,1,0,ms818,0,0,2021,6,0,website,0,15,1
auto,66,0,0,0,1,0,1,0,ms818,0,0,2021,5,1,other,0,42,0
other,89,0,0,0,1,1,2,0,ms818,2,0,2022,7,0,website,0,222,0
auto,185,0,0,0,2,2,3,0,ms498,0,1,2022,4,1,website,0,66,0
auto,0,0,0,0,0,1,2,0,ms498,1,0,2021,1,1,other,0,18,0
other,58,0,0,0,0,3,2,0,ms818,2,0,2022,3,1,website,0,226,1
auto,100,0,0,0,2,2,2,1,ms818,0,0,2022,4,1,bank branch,0,86,0
auto,65,0,0,0,0,4,2,0,ms818,1,0,2021,3,0,website,0,69,0
auto,85,0,0,0,0,3,2,0,ms818,0,0,2022,4,1,bank branch,0,78,0
auto,92,0,0,0,1,1,1,0,ms498,1,0,2021,6,0,website,0,54,0
other,95,0,0,0,2,1,2,0,ms818,2,0,2020,10,1,website,0,78,0
auto,69,0,0,0,2,5,2,0,ms818,0,0,2021,4,0,bank branch,0,57,0
auto,99,0,0,0,2,2,2,0,ms818,1,0,2021,11,1,website,0,166,0
auto,126,0,0,0,0,1,2,0,ms818,0,0,2022,4,0,website,0,58,1
auto,150,0,0,0,2,3,3,0,ms498,0,0,2021,1,1,website,0,188,1
other,79,0,0,0,2,1,2,0,ms818,1,0,2021,4,0,website,0,79,0
auto,0,0,0,0,0,1,1,0,ms818,0,0,2020,12,0,other,0,27,0
auto,65,0,0,0,0,3,2,0,ms818,0,0,2020,12,1,other,0,21,0
auto,120,0,0,0,2,1,2,0,ms818,0,0,2020,7,0,other,0,5,0
auto,174,0,0,0,1,2,2,0,ms818,2,0,2021,3,1,website,0,48,0
auto,126,0,0,0,2,1,2,0,ms818,1,0,2022,4,0,website,0,104,0
auto,89,0,0,0,2,2,2,0,ms818,1,0,2022,5,0,bank branch,0,84,0
auto,81,0,0,0,0,1,1,0,ms818,0,0,2021,6,0,other,0,115,0
auto,141,0,0,0,0,3,2,0,ms498,2,0,2022,5,0,website,0,47,0
auto,108,0,0,0,0,3,1,0,ms498,1,0,2021,10,1,website,0,47,0
auto,98,0,0,0,0,2,2,0,ms818,0,0,2022,1,1,website,0,17,0
auto,114,0,0,0,0,1,1,0,ms818,1,0,2020,12,1,website,0,7,0
auto,88,0,0,0,2,2,2,0,ms818,1,0,2022,1,0,website,0,155,1
other,119,0,0,0,0,2,2,0,ms818,1,0,2021,9,0,website,0,19,0
auto,86,0,0,0,2,2,2,0,ms818,0,0,2021,2,0,bank branch,0,52,0
auto,85,0,0,0,2,1,1,0,ms818,0,0,2021,6,1,website,0,44,1
auto,89,0,0,0,0,3,2,0,ms818,1,0,2022,8,0,bank branch,0,109,0
auto,91,0,0,0,1,2,2,0,ms818,1,0,2021,2,1,bank branch,0,348,0
auto,75,0,0,0,5,10,1,0,ms818,0,0,2021,5,0,website,0,29,0
auto,127,0,0,0,2,2,2,0,ms498,1,0,2021,1,0,website,0,183,1
auto,140,0,0,0,0,2,2,1,ms818,1,0,2021,12,1,website,0,154,0
auto,190,0,0,0,0,3,3,0,ms498,1,0,2022,4,1,website,0,51,0
auto,322,0,0,0,0,4,2,3,ms604,1,0,2022,7,1,website,0,73,0
auto,95,0,0,0,0,2,1,0,ms818,0,0,2021,10,0,bank branch,0,205,0
auto,142,0,0,0,0,2,3,0,ms498,2,0,2021,11,0,website,0,81,0
auto,122,0,0,0,1,2,1,0,ms498,1,0,2021,9,1,website,0,143,0
other,91,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,website,0,7,0
auto,0,1,7,8,0,1,1,0,ms818,2,0,2022,3,0,other,1,5,0
auto,114,0,0,0,1,3,2,1,ms818,2,0,2022,1,1,website,0,70,0
other,109,0,0,0,0,1,2,0,ms818,1,0,2022,8,1,website,0,33,0
residential,82,0,0,0,0,2,2,0,ms818,0,0,2020,7,0,bank branch,0,65,0
auto,184,0,0,0,0,1,1,0,ms498,2,0,2021,1,0,website,0,32,0
auto,120,0,0,0,0,1,2,0,ms818,0,0,2021,10,1,bank branch,0,60,0
auto,90,0,0,0,0,3,1,0,ms498,0,0,2021,10,1,other,0,13,0
auto,144,0,0,0,0,4,2,0,ms818,1,0,2022,7,0,website,0,9,0
auto,77,0,0,0,2,3,2,0,ms818,0,0,2020,12,1,website,0,162,0
auto,130,0,1,1,0,1,1,0,ms818,1,0,2022,4,0,website,1,8,0
auto,77,0,0,0,0,1,2,0,ms650,1,0,2020,10,0,website,0,14,0
auto,92,0,0,0,2,1,0,2,ms650,2,0,2021,4,0,website,0,115,0
auto,65,0,4,4,2,1,1,0,ms818,0,0,2020,9,0,other,1,28,0
residential,140,0,0,0,0,4,2,0,ms818,1,0,2021,1,0,bank branch,0,112,0
auto,94,0,0,0,2,1,2,0,ms818,1,0,2020,10,0,website,0,38,0
auto,75,0,0,0,1,0,1,0,ms818,0,0,2021,3,0,bank branch,0,32,0
